terrquadra,endereco,numero,obs
1A,Av.Ajarani,10F,revisitar,não em casa
1A,R.Marialva,
1A,R.AntonioCarneiroLeão,
1A,Av.Dr.BernardinoB.F.Carvalho(Gamelinha),
1B,R.MateoMartinsCebanhos,
1B,R.André da Rocha,
1B,R.Marialva,
1C,R.MateoMartinsCebanhos,
1C,R.PadreMorcillaFilho,
1C,R.BraçoDaCruz,
1C,R.André da Rocha,
1D,R.BraçoDaCruz,
1D,PraçaMichelDaud,
1D,R.Acangupa,
1D,R.André da Rocha,
1E,R.Acangupa,
1E,R.AngelicaDaC.Carvalho,
1E,R.AntonioCarneiroLeão,
1E,R.Marialva,
1F,R.AntonioCarneiroLeão,
1F,R.AngelicaDaC.Carvalho,
1F,Av.Prof.XavierDeLima,
1F,Av.Dr.BernardinoB.F.Carvalho(Gamelinha),
1G,R.BraçoDaCruz,
1G,R.GeraldoVilela,
1G,R.BalaMineira,
1G,R.PadreSalvador Machado,
1G,Av.Prof.XavierDeLima,
1G,R.AngelicaDaC.Carvalho,
1G,R.PadreMorcillaFilho,
2A,R.BalaMineira,
2A,R.GeraldoVilela,
2A,R.DelfinaDaCunha,
2A,R.PadreSalvador Machado,
2B,R.DelfinaDaCunha,
2B,R.GeraldoVilela,
2B,R.Dr.MarioMonteiro,
2B,R.PadreSalvador Machado,
2C,R.BraçoDaCruz,
2C,R.AntonioTaborda,
2C,Av.Prof.XavierDeLima,
2C,R.PadreSalvador Machado,
2C,R.Dr.MarioMonteiro,
2C,R.GeraldoVilela,
2D,R.BraçoDaCruz,
2D,R.Dos Ariosos,
2D,R.Biagoréu,
2D,R.AntonioTaborda,
2E,R.BraçoDaCruz,
2E,R.MateusDeSiqueira,
2E,R.Coroatá,
2E,R.AntonioTaborda,
2E,R.Biagoréu,
2E,R.Dos Ariosos,
2F,R.Coroatá,
2F,Viela(Coroatá),
2F,Av.Prof.XavierDeLima,
2F,R.SãoTuríbio,
2G,R.Coroatá,
2G,Av.Eng.SoaresDeCamargo,
2G,Av.Prof.XavierDeLima,
2G,Viela(Coroatá),
3A,Av.PatrocínioPaulista,
3A,R.CornélioPena,
3A,R.Mal.AméricoBraga,
3A,R.MateusDeSiqueira,
3B,R.Mal.AméricoBraga,
3B,PraçaMacedoBraga,
3B,R.MateusDeSiqueira,
3C,Av.PatrocínioPaulista,
3C,R.Xique-Xique,
3C,R.MateusDeSiqueira,
3C,PraçaMacedoBraga,
3C,R.CornélioPena,
3D,R.MateusDeSiqueira,
3D,R.Xique-Xique,
3D,R.Coroatá,
3D,Av.Eng.SoaresDeCamargo,
3E,Av.PatrocínioPaulista,
3E,R.Prof.TitoNovais,
3E,R.MateusDeSiqueira,
3E,R.Xique-Xique,
3F,Av.PatrocínioPaulista,
3F,R.Xapuri,
3F,R.Coroatá,
3F,R.Xique-Xique,
3F,R.MateusDeSiqueira,
3F,R.Prof.TitoNovais,
4A,Av.PatrocínioPaulista,
4A,PraçaAraruva,
4A,R.Caracaraí,
4A,R.FozDoJordão,
4A,R.Catrimani,
4B,PraçaAraruva,
4B,R.Mazagão,
4B,R.Caracaraí,
4C,PraçaAraruva,
4C,Av.AntonioEstevãoDeCarvalho,
4C,R.Caracaraí,
4C,R.Mazagão,
4D,R.FozDoJordão,
4D,R.Caracaraí,
4D,R.Mazagão,
4D,R.Catrimani,
4E,R.Xapuri,
4E,R.Catrimani,
4E,R.Clevelândia,
5A,Av.AntonioEstevãoDeCarvalho,
5A,AvDr.LuizAires(Radial),
5A,R.Licânia,
5B,Av.AntonioEstevãoDeCarvalho,
5B,R.Licânia,
5B,AvDr.LuizAires(Radial),
5B,R.Pinhal,
5B,R.Videira,
5C,Av.AntonioEstevãoDeCarvalho,
5C,R.Videira,
5C,R.Pinhal,
5C,R.Icó,
5D,Av.AntonioEstevãoDeCarvalho,
5D,R.Icó,
5D,R.Pinhal,
5E,AvDr.LuizAires(Radial),
5E,R.Dr.NiltonSilva,
5E,R.Icó,
5E,R.Pinhal,
5F,R.Icó,
5F,R.Dr.NiltonSilva,
5F,Av.ParaguaçuPaulista,
5F,R.Pinhal,
5G,Av.ParaguaçuPaulista,
5G,R.Dr.NiltonSilva,
5G,Av.AntonioEstevãoDeCarvalho,
6A,Av.Prof.XavierDeLima,
6A,Trav.JudithC.DeMelo,
6A,VielaJoséRodriguesM.Jr,
6A,Av.Dr.BernardinoB.F.Carvalho(Gamelinha),
6B,VielaJoséRodriguesM.Jr,
6B,Trav.JudithC.DeMelo,
6B,R.Cel.AntonioBarroso,
6B,Av.Dr.BernardinoB.F.Carvalho(Gamelinha),
6C,Av.Prof.XavierDeLima,
6C,R.SãoTuríbio,
